dataset,subset,cluster_id,cluster_size,node_id,file_path,language,source_element_path
KMT,all_notes_en,all_notes_en_cluster_dita_document:23e9106c7d45cb2b4a20,7,dita_document:344e170a5669af910b9c,KA-01966_note_0002.dita,,KA-01966_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:23e9106c7d45cb2b4a20,7,dita_document:b566855355e99c0977be,KA-04850_note_0002.dita,,KA-04850_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:23e9106c7d45cb2b4a20,7,dita_document:2ef85422f17b55a43e55,KA-04850_note_0007.dita,,KA-04850_note_0007.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:23e9106c7d45cb2b4a20,7,dita_document:9af00490a18732c92f59,KA-05390_note_0001.dita,,KA-05390_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:49d4241127a9a210a2d6,3,dita_document:49d4241127a9a210a2d6,KA-01590_note_0006.dita,,KA-01590_note_0006.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:49d4241127a9a210a2d6,3,dita_document:ff1f0e83785213011b93,KA-01621_note_0006.dita,,KA-01621_note_0006.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:49d4241127a9a210a2d6,3,dita_document:987f989b1fff57455df4,KA-01698_note_0002.dita,,KA-01698_note_0002.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:aca6ac0422a03efbaa52,5,dita_document:14670da46085ef91f2d8,KA-01590_note_0008.dita,,KA-01590_note_0008.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:aca6ac0422a03efbaa52,5,dita_document:9bdfa5377e9508e953c0,KA-02370_note_0001.dita,,KA-02370_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:aca6ac0422a03efbaa52,5,dita_document:aca6ac0422a03efbaa52,KA-04482_note_0009.dita,,KA-04482_note_0009.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:aca6ac0422a03efbaa52,5,dita_document:506aaad890ea72f3205a,KA-04869_note_0001.dita,,KA-04869_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:aca6ac0422a03efbaa52,5,dita_document:8899b5b38ebe995719fd,KA-04869_note_0003.dita,,KA-04869_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:625c0349c5b0854d90a6,2,dita_document:625c0349c5b0854d90a6,KA-01590_note_0009.dita,,KA-01590_note_0009.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:625c0349c5b0854d90a6,2,dita_document:9d746b94aafb926d8951,KA-01621_note_0009.dita,,KA-01621_note_0009.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:fc534356856f974626d6,2,dita_document:fc534356856f974626d6,KA-01590_note_0010.dita,,KA-01590_note_0010.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:fc534356856f974626d6,2,dita_document:aa9d64d0a07e224b5355,KA-01621_note_0010.dita,,KA-01621_note_0010.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:fe9dee108abc9c52d9f5,2,dita_document:fe9dee108abc9c52d9f5,KA-01590_note_0012.dita,,KA-01590_note_0012.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:fe9dee108abc9c52d9f5,2,dita_document:39e7c9671aed0458c9d9,KA-01621_note_0012.dita,,KA-01621_note_0012.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:3f0f105fd5aed15c1880,7,dita_document:3f0f105fd5aed15c1880,KA-01590_note_0015.dita,,KA-01590_note_0015.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:3f0f105fd5aed15c1880,7,dita_document:f8cb7aa689ee2da4d5ab,KA-05024_note_0025.dita,,KA-05024_note_0025.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:3f0f105fd5aed15c1880,7,dita_document:ccb6e850019fa81a2b77,KA-05048_note_0007.dita,,KA-05048_note_0007.dita
